wetland,value_avg,value_sd,variable
BB,1.9815509385000003,1.3169808543684225,inundated
DB,1.02078543675,1.2280844649916325,inundated
DK,0.41087731646250003,0.2573999448088334,inundated
ND,0.38283055204500005,0.35430751971692526,inundated
QB,2.974193545635,3.089328178943859,inundated
TB,2.2732050210000003,2.863725025419221,inundated
BB,-0.00525558,0.0031168685313949325,non inundated sink
DB,-0.006082914285714286,0.004341865347247237,non inundated sink
DK,-0.00315001,0.0012877011617607557,non inundated sink
ND,-0.0034318703703703703,9.191757335179813e-4,non inundated sink
QB,-0.0033204777777777776,0.001443399798089283,non inundated sink
TB,-0.00521240625,0.0029356622343107413,non inundated sink
BB,0.37061604,0.9166673342833694,non inundated source
DB,0.22944528428571428,0.5716621940353616,non inundated source
DK,0.25550468,0.7248694914819894,non inundated source
ND,0.08335718,0.12097608555663152,non inundated source
QB,0.40421234133333334,0.9208029747189761,non inundated source
TB,0.10404009,0.1797583415063428,non inundated source
BB,2.1954625885714285,2.03272026076252,buffer width
DB,1.7451937392857142,2.7382770891377226,buffer width
DK,6.255822696428571,4.18839531598251,buffer width
ND,1.783114925,1.7615200757982472,buffer width
QB,5.389416782142858,4.681283620307629,buffer width
TB,2.918446264285714,2.6962888249424055,buffer width
